title,author,link,hours,mins,total_mins,total_hours,total_days
Never Kiss a Cowgirl,Ali Vali,https://www.audible.com/pd/Never-Kiss-a-Cowgirl-Audiobook/B0C5Y73TCD?qid=1686833273&sr=1-45&ref=a_search_c3_lProduct_3_5&pf_rd_p=83218cca-c308-412f-bfcf-90198b687a2f&pf_rd_r=6B7WY34GEERME48GG1EC&pageLoadId=58Zk57HFzQyuogjw&creativeId=0d6f6720-f41c-457e-a42b-8c8dceb62f2c,10.0,6.0,606.0,10.1,0.42
Montego,Brian McClellan,https://www.audible.com/pd/Montego-Audiobook/B0C63F6M7L?qid=1686833273&sr=1-46&ref=a_search_c3_lProduct_3_6&pf_rd_p=83218cca-c308-412f-bfcf-90198b687a2f&pf_rd_r=6B7WY34GEERME48GG1EC&pageLoadId=58Zk57HFzQyuogjw&creativeId=0d6f6720-f41c-457e-a42b-8c8dceb62f2c,3.0,10.0,190.0,3.17,0.13
Against the Web,Michael Brooks,https://www.audible.com/pd/Against-the-Web-Audiobook/B0C62G3P38?qid=1686833273&sr=1-47&ref=a_search_c3_lProduct_3_7&pf_rd_p=83218cca-c308-412f-bfcf-90198b687a2f&pf_rd_r=6B7WY34GEERME48GG1EC&pageLoadId=58Zk57HFzQyuogjw&creativeId=0d6f6720-f41c-457e-a42b-8c8dceb62f2c,2.0,58.0,178.0,2.97,0.12
The Modern Girl's Guide to Magic,Linsey Hall,https://www.audible.com/pd/The-Modern-Girls-Guide-to-Magic-Audiobook/B0C6MXNSKY?qid=1686833273&sr=1-48&ref=a_search_c3_lProduct_3_8&pf_rd_p=83218cca-c308-412f-bfcf-90198b687a2f&pf_rd_r=6B7WY34GEERME48GG1EC&pageLoadId=58Zk57HFzQyuogjw&creativeId=0d6f6720-f41c-457e-a42b-8c8dceb62f2c,8.0,36.0,516.0,8.6,0.36
Made for Romeo,Natasha Madison,https://www.audible.com/pd/Made-for-Romeo-Audiobook/B0C5JX8BZV?qid=1686833273&sr=1-49&ref=a_search_c3_lProduct_3_9&pf_rd_p=83218cca-c308-412f-bfcf-90198b687a2f&pf_rd_r=6B7WY34GEERME48GG1EC&pageLoadId=58Zk57HFzQyuogjw&creativeId=0d6f6720-f41c-457e-a42b-8c8dceb62f2c,7.0,27.0,447.0,7.45,0.31
Alison Bechdel’s Dykes to Watch Out For,"Alison Bechdel, Madeleine George",https://www.audible.com/pd/Alison-Bechdels-Dykes-to-Watch-Out-For-Audiobook/B0C4VVRKJM?qid=1686833273&sr=1-50&ref=a_search_c3_lProduct_3_10&pf_rd_p=83218cca-c308-412f-bfcf-90198b687a2f&pf_rd_r=6B7WY34GEERME48GG1EC&pageLoadId=58Zk57HFzQyuogjw&creativeId=0d6f6720-f41c-457e-a42b-8c8dceb62f2c,3.0,,,,
My Husband's House,Sheryl Browne,https://www.audible.com/pd/My-Husbands-House-Audiobook/B0C5Y5TX67?qid=1686833273&sr=1-51&ref=a_search_c3_lProduct_3_11&pf_rd_p=83218cca-c308-412f-bfcf-90198b687a2f&pf_rd_r=6B7WY34GEERME48GG1EC&pageLoadId=58Zk57HFzQyuogjw&creativeId=0d6f6720-f41c-457e-a42b-8c8dceb62f2c,10.0,4.0,604.0,10.07,0.42
A Kingdom of Nomads,S.B. Nova,https://www.audible.com/pd/A-Kingdom-of-Nomads-Audiobook/B0C6R8MBDW?qid=1686833273&sr=1-52&ref=a_search_c3_lProduct_3_12&pf_rd_p=83218cca-c308-412f-bfcf-90198b687a2f&pf_rd_r=6B7WY34GEERME48GG1EC&pageLoadId=58Zk57HFzQyuogjw&creativeId=0d6f6720-f41c-457e-a42b-8c8dceb62f2c,25.0,55.0,1555.0,25.92,1.08
The Body Revelation,"Alisa Keeton, Jess Connolly - foreword",https://www.audible.com/pd/The-Body-Revelation-Audiobook/B0C66XT87L?qid=1686833273&sr=1-53&ref=a_search_c3_lProduct_3_13&pf_rd_p=83218cca-c308-412f-bfcf-90198b687a2f&pf_rd_r=6B7WY34GEERME48GG1EC&pageLoadId=58Zk57HFzQyuogjw&creativeId=0d6f6720-f41c-457e-a42b-8c8dceb62f2c,9.0,53.0,593.0,9.88,0.41
Campaign Marketing Strategy Analysis of a New Product Launch in Czech,Kasondra Urmetz,https://www.audible.com/pd/Campaign-Marketing-Strategy-Analysis-of-a-New-Product-Launch-in-Czech-Audiobook/B0C6FMFHVB?qid=1686833273&sr=1-54&ref=a_search_c3_lProduct_3_14&pf_rd_p=83218cca-c308-412f-bfcf-90198b687a2f&pf_rd_r=6B7WY34GEERME48GG1EC&pageLoadId=58Zk57HFzQyuogjw&creativeId=0d6f6720-f41c-457e-a42b-8c8dceb62f2c,1.0,24.0,84.0,1.4,0.06
Meat Eater,Steven Rinella,https://www.audible.com/pd/Meat-Eater-Audiobook/B0C2DK83FP?qid=1686833273&sr=1-55&ref=a_search_c3_lProduct_3_15&pf_rd_p=83218cca-c308-412f-bfcf-90198b687a2f&pf_rd_r=6B7WY34GEERME48GG1EC&pageLoadId=58Zk57HFzQyuogjw&creativeId=0d6f6720-f41c-457e-a42b-8c8dceb62f2c,7.0,1.0,421.0,7.02,0.29
Lady's Well,LJ Ross,https://www.audible.com/pd/Ladys-Well-Audiobook/B0C5N6JDZ5?qid=1686833273&sr=1-56&ref=a_search_c3_lProduct_3_16&pf_rd_p=83218cca-c308-412f-bfcf-90198b687a2f&pf_rd_r=6B7WY34GEERME48GG1EC&pageLoadId=58Zk57HFzQyuogjw&creativeId=0d6f6720-f41c-457e-a42b-8c8dceb62f2c,8.0,16.0,496.0,8.27,0.34
Rogue Darkness,Dianne Duvall,https://www.audible.com/pd/Rogue-Darkness-Audiobook/B0C2JLF5H3?qid=1686833273&sr=1-57&ref=a_search_c3_lProduct_3_17&pf_rd_p=83218cca-c308-412f-bfcf-90198b687a2f&pf_rd_r=6B7WY34GEERME48GG1EC&pageLoadId=58Zk57HFzQyuogjw&creativeId=0d6f6720-f41c-457e-a42b-8c8dceb62f2c,12.0,,,,
Resisting the Grump,Ashley Munoz,https://www.audible.com/pd/Resisting-the-Grump-Audiobook/B0C5KKXTND?qid=1686833273&sr=1-58&ref=a_search_c3_lProduct_3_18&pf_rd_p=83218cca-c308-412f-bfcf-90198b687a2f&pf_rd_r=6B7WY34GEERME48GG1EC&pageLoadId=58Zk57HFzQyuogjw&creativeId=0d6f6720-f41c-457e-a42b-8c8dceb62f2c,10.0,13.0,613.0,10.22,0.43
"CISSP All-in-One Exam Guide, Ninth Edition","Fernando Maymi, Shon Harris",https://www.audible.com/pd/CISSP-All-in-One-Exam-Guide-Ninth-Edition-Audiobook/B0C5YDWVJN?qid=1686833273&sr=1-59&ref=a_search_c3_lProduct_3_19&pf_rd_p=83218cca-c308-412f-bfcf-90198b687a2f&pf_rd_r=6B7WY34GEERME48GG1EC&pageLoadId=58Zk57HFzQyuogjw&creativeId=0d6f6720-f41c-457e-a42b-8c8dceb62f2c,51.0,34.0,3094.0,51.57,2.15
Darkkin Knight,John Conroe,https://www.audible.com/pd/Darkkin-Knight-Audiobook/B0C7FB6D97?qid=1686833273&sr=1-60&ref=a_search_c3_lProduct_3_20&pf_rd_p=83218cca-c308-412f-bfcf-90198b687a2f&pf_rd_r=6B7WY34GEERME48GG1EC&pageLoadId=58Zk57HFzQyuogjw&creativeId=0d6f6720-f41c-457e-a42b-8c8dceb62f2c,13.0,24.0,804.0,13.4,0.56
Savannah,SunriseCV,https://www.audible.com/pd/Savannah-Audiobook/B0C5Y5Y375?qid=1686833292&sr=1-61&ref=a_search_c3_lProduct_4_1&pf_rd_p=83218cca-c308-412f-bfcf-90198b687a2f&pf_rd_r=N4HRKQYD471254B4SBQV&pageLoadId=4NznffzMxSUaYZAg&creativeId=0d6f6720-f41c-457e-a42b-8c8dceb62f2c,14.0,31.0,871.0,14.52,0.6
