property_name,property_price,property_location,property_bedrooms,property_bathrooms,property_size,real_estate_agent
,"KSh 40,000,000","0415p/416p, #rd Parklands Avenue Road, Parklands, Westlands",4,,2700 ft²,Ace Realtors Limited
,"KSh 105,000,000",Lavington,5,,,Leti Realty Limited
,"KSh 13,000,000","Nyali Area, Nyali",3,,,Joslink Property Group
,"KSh 80,000,000","Maziwa, Lavington",4,,,Lavington Property Management
,"KSh 12,000,000",Kitengela,3,,,Urban Hut Limited
,"KSh 88,000,000",Lavington,4,,,Coral Property International Ltd
,"KSh 115,000,000","Windy Ridge, Karen",4,,,Pam Golding Properties
,"KSh 28,000,000","Migaa golf Estate, Kiambu Road",4,,,Ryden International
,"KSh 85,000,000","Mimosa, Runda, Westlands",5,,,Pam Golding Properties
,"KSh 45,000,000","Nyali Area, Nyali",4,,,Furaha Properties
,"KSh 12,500,000","Katani Road, Katani road, Syokimau",4,,250 m²,Westside Real Estate
,"KSh 140,000,000","Thigiri, Westlands",5,,,Coral Property International Ltd
,"KSh 11,950,000","Jcc Church, Bamburi",4,,,BLISS HOMES
,"KSh 39,000,000",Kiambu Road,4,,,Villawatch Limited
,"KSh 16,500,000",Ngong,4,,400 m²,
,"KSh 31,500,000","La-marina, Mtwapa",3,,1100 m²,Sky Miles Properties
,"KSh 65,000,000",Lavington,4,,,Marini Homes
,"KSh 32,000,000",Ongata Rongai,4,,3500 ft²,Leilach Properties
,"KSh 15,000,000",Syokimau,5,,,Vector Afriq Properties Ltd
,"KSh 27,000,000","Lavington Green, Lavington",3,,,Lavington Property Management
,"KSh 15,000,000",Thika Road,4,,,Pam Golding Properties
,"KSh 38,000,000","Tigoni, Limuru",4,,743 m²,Wealthlink Realtors Ltd
,"KSh 110,000,000","Runda, Westlands",4,,,Wealthlink Realtors Ltd
,"KSh 5,600,000",Kitengela,3,,,Vector Afriq Properties Ltd
,"KSh 40,500,000","Lavington Green, Lavington",5,,,Lavington Property Management
,Price not communicated,"Runda, Westlands",5,,,Riverdale Properties
,"KSh 55,000,000","Chalbi Drive, Lavington",5,,,FAPCL Group
,"KSh 34,000,000","Baobab road, Nyali Area, Nyali",4,,6500 ft²,Samfrance properties
,"KSh 50,000,000",Lavington,5,,,Canaan Properties
,"KSh 18,500,000","Kikambala,kikambala,kilifi county, Kikambala",1,,1200 ft²,Samfrance properties
